GoodsID,GoodsName,SortOrder,Describe,GoodsClass,BagClass,Price,GiftCertificateBuy,BackPrice,BackMinDukeGrade,BackMinMarketLevel,LimitUsePerDay,UseInterval,GroupID,UseType,UsePrompt,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16,Data17,Data18,Data19,Data20,NotExport,NeedBroad,CanPresent,memberPrice
4001,Sketches,1101,"These fragmentary sketches give an insight into the building process, and will reduce the duration of one building task by 15 minutes.",1,加速类,5,1,20,0,10,0,0,0,2,,1,900,1,,,,,,,,,,,,,,,,,,0,0,1,4
4002,开天便笺,1102,记录了天工开物经验的简短纸片。使用后缩短1项建造任务的时间1小时。,1,加速类,12,1,40,0,10,0,0,0,2,NULL,1,3600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,10
4003,开天草图,1103,记录了天工开物设计的图样，线条有些潦草。使用后缩短1项建造任务的时间2小时30分钟。,1,加速类,20,1,80,0,10,0,0,0,2,NULL,1,9000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,16
4004,开天书册,1104,记录了天工开物工艺诀窍的陈旧书册，便于携带翻阅。使用后缩短1项建造任务的时间8小时。,1,加速类,50,1,200,0,10,0,0,0,2,NULL,1,28800,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4005,开天秘录,1105,记录了天工开物设计的秘诀经典。使用后缩短1项建造任务的时间30小时。,1,加速类,80,1,320,0,10,0,0,0,2,NULL,1,108000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,64
4011,天书残页,1106,记载了天界散仙修炼法诀的残破书页，虽然残破不全，但是依旧可以给人间修仙者带来很大便利。使用后缩短1项研究任务的时间15分钟。,1,加速类,5,1,20,0,10,0,0,0,2,NULL,2,900,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,4
4012,天书散页,1107,记载了天界散仙修炼法诀的天书散页，虽然内容并不连贯，但是依旧可以给人间修仙者带来极大便利。使用后缩短1项研究任务的时间1小时。,1,加速类,12,1,40,0,10,0,0,0,2,NULL,2,3600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,10
4013,天书残卷,1108,记载了天界散仙修炼法诀的天书残卷，内容丰富且通俗易懂，给人间修仙者带来的便利无可估量。使用后缩短1项研究任务的时间3小时。,1,加速类,20,1,100,0,10,0,0,0,2,NULL,2,10800,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,16
4014,天书典籍,1109,记载了天界散仙修炼法诀的完整典籍，内容详细，几乎可使人间修仙者瞬间得道。使用后缩短1项研究任务的时间10小时。,1,加速类,50,1,260,0,10,0,0,0,2,NULL,2,36000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4015,天书秘典,1110,记载了天书工艺的秘藏经典。使用后缩短1项研究任务的时间36小时。,1,加速类,80,1,400,0,10,0,0,0,2,NULL,2,129600,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,64
4021,征兵告示,1111,保家卫国乃顶天立地男儿所为，发布告示可使万民知晓诸侯征兵卫国。使用后可缩短一个训练队列的剩余时间30%。每个训练队列只能使用一次。,1,加速类,30,1,120,0,10,0,0,0,2,NULL,3,30,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,24
4024,备城门,1115,墨子的重要军事篇章，记载了墨家对城池攻守器械和城防体系的研究成果。使用后可缩短一个城防建造队列的剩余时间30%。每个训练队列只能使用一次。,1,加速类,35,1,140,0,10,0,0,0,2,NULL,4,35,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,28
4027,指南车,1113,相传黄帝与蚩尤战于涿鹿之野时建造，为士兵指引方向，人间工匠仿制后多用于为运输队伍指示正确方向缩短寻路时间。使用后缩短1笔交易的时间为1/10。可以连续使用。,1,加速类,5,1,20,0,10,0,0,0,2,NULL,5,10,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,4
4101,百草鞭,2101,人间祭祀神农时所用道具，据传为神农尝遍百草以辨其性时所使用的法宝，使用道具可使粮食产量增加25%，持续24小时。连续使用时间延长。,2,生产类,8,1,32,0,10,0,0,4,1,NULL,5,25,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,6
4102,神农百草鞭,2102,神农尝遍百草以辨其性时所用的法宝，使用道具可使粮食产量增加25%，持续7天。连续使用时间延长。,2,生产类,50,1,200,0,10,0,0,4,1,NULL,5,25,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4111,开天斧,2103,人间祭祀盘古时所用道具，据传为盘古开天辟地所用法宝，使用道具可使木材产量增加25%，持续24小时。连续使用时间延长。,2,生产类,8,1,32,0,10,0,0,5,1,NULL,6,25,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,6
4112,盘古开天斧,2104,盘古开天辟地所用法宝，使用道具可使木材产量增加25%，持续7天。连续使用时间延长。,2,生产类,50,1,200,0,10,0,0,5,1,NULL,6,25,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
4121,破山锤,2105,人间祭祀共工时所用道具，据传为共工撞不周山时所用法宝，使用道具可使石料产量增加25%，持续24小时。连续使用时间延长。,2,生产类,8,1,32,0,10,0,0,6,1,NULL,7,25,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,6
4122,共工破山锤,2106,共工撞不周山时所用法宝，使用道具可使石料产量增加25%，持续7天。连续使用时间延长。,2,生产类,50,1,200,0,10,0,0,6,1,NULL,7,25,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,40
